"ID";"Name";"global_id";"Photo";"AdmArea";"District";"DepartmentalAffiliation";"Address";"Capacity";"ObjectOperOrgName";"ObjectOperOrgPhone";"Longitude_WGS84";"Latitude_WGS84";"geoData";"geodata_center";
"Локальный идентификатор";"Наименование велосипедной парковки";"global_id";"Фотография";"Административный округ по адресу";"Район";"Ведомственная принадлежность";"Адресный ориентир";"Количество мест";"Наименование эксплуатирующей организации";"Телефон эксплуатирующей организации";"Долгота в WGS-84";"Широта в WGS-84";"geoData";"geodata_center";
"1397";"Велосипедная парковка № 080148110371";"22950209";"fded1e07-50b3-4a55-9521-fac7fc32e5c6";"Западный административный округ";"район Раменки";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Винницкая улица, дом 1";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.466950";"55.675760";"{coordinates=[37.46695, 55.67576], type=Point}";"{coordinates=[37.46695, 55.67576], type=Point}";
"1398";"Велосипедная парковка № 080148211067";"22950210";"ad018e1e-bb41-4aac-bd81-a58df8fdfe09";"Западный административный округ";"район Марьино";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ул. Перерва, д. 56, корп. 2";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.7457773";"55.6584252";"{coordinates=[37.7457773, 55.6584252], type=Point}";"{coordinates=[37.7457773, 55.6584252], type=Point}";
"1403";"Велосипедная парковка № 080148212441";"22950215";"d77734b0-88ea-4772-a17b-3cd3c1730cde";"Западный административный округ";"район Кунцево";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Рублёвское шоссе, дом 16, корпус 1";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.434883";"55.739490";"{coordinates=[37.434883, 55.73949], type=Point}";"{coordinates=[37.434883, 55.73949], type=Point}";
"1405";"Велосипедная парковка № 080148212994";"22950217";"387567fc-0f88-4153-bc57-7679d19d686e";"Западный административный округ";"район Проспект Вернадского";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Улица Удальцова, дом 14";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.511697";"55.675997";"{coordinates=[37.511697, 55.675997], type=Point}";"{coordinates=[37.511697, 55.675997], type=Point}";
"1409";"Велосипедная парковка № 080148111327";"22950221";"1c307196-285b-4438-bc00-62404e80dc67";"Западный административный округ";"район Крылатское";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Крылатская улица, дом 33, корпус 3";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.407220";"55.770333";"{coordinates=[37.40722, 55.770333], type=Point}";"{coordinates=[37.40722, 55.770333], type=Point}";
"1410";"Велосипедная парковка № 080148211910";"22950222";"d195ef91-519f-4a20-a990-e7280131fb82";"Западный административный округ";"район Крылатское";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Осенний бульвар, дом 12, корпус 1";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.408763";"55.758383";"{coordinates=[37.408763, 55.758383], type=Point}";"{coordinates=[37.408763, 55.758383], type=Point}";
"1415";"Велосипедная парковка № 080148111067";"22950227";"7e20e9d9-3ce5-43a7-a91e-f7f1bde3a987";"Западный административный округ";"район Фили-Давыдково";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Кастанаевская улица, дом 52, строение 2";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.468797";"55.734707";"{coordinates=[37.468797, 55.734707], type=Point}";"{coordinates=[37.468797, 55.734707], type=Point}";
"1417";"Велосипедная парковка № 080148112441";"22950229";"7482253e-21ec-46be-9553-2be277075035";"Западный административный округ";"район Крылатское";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Рублёвское шоссе, дом 44, корпус 2";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.412467";"55.752438";"{coordinates=[37.412467, 55.752438], type=Point}";"{coordinates=[37.412467, 55.752438], type=Point}";
"1418";"Велосипедная парковка № 080148110713";"22950230";"97b92bac-85b0-498c-a94f-7f8db5290698";"Западный административный округ";"район Дорогомилово";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Большая Дорогомиловская улица, дом 7";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.557653";"55.746517";"{coordinates=[37.557653, 55.746517], type=Point}";"{coordinates=[37.557653, 55.746517], type=Point}";
"1419";"Велосипедная парковка № 080148110184";"22950231";"ac19592a-6bfb-4353-ba07-a6a227c20988";"Западный административный округ";"Можайский район";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Беловежская улица, дом 39, корпус 3";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.395080";"55.710717";"{coordinates=[37.39508, 55.710717], type=Point}";"{coordinates=[37.39508, 55.710717], type=Point}";
"1420";"Велосипедная парковка № 080148111301";"22950232";"7016afc8-b033-42ed-baf2-3ab695eccc45";"Западный административный округ";"район Фили-Давыдково";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Кременчугская улица, дом 6, корпус 1";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.459223";"55.723888";"{coordinates=[37.459223, 55.723888], type=Point}";"{coordinates=[37.459223, 55.723888], type=Point}";
"1421";"Велосипедная парковка № 080148112994";"22950233";"fa81909c-ad76-446d-a6e2-7fa3869a2d73";"Западный административный округ";"район Проспект Вернадского";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Улица Удальцова, дом 4";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.516822";"55.673282";"{coordinates=[37.516822, 55.673282], type=Point}";"{coordinates=[37.516822, 55.673282], type=Point}";
"1424";"Велосипедная парковка № 080148110226";"22950236";"890e0ac3-5097-4019-a956-a40b8ed76d4e";"Западный административный округ";"район Якиманка";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Лаврушинский пер., д. 10";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.6185568";"55.7417021";"{coordinates=[37.6185568, 55.7417021], type=Point}";"{coordinates=[37.6185568, 55.7417021], type=Point}";
"1427";"Велосипедная парковка № 080148110348";"22950239";"e3fa38ea-ab82-44a7-8a15-9a197358c56e";"Западный административный округ";"район Тропарёво-Никулино";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Проспект Вернадского, дом 109";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.491483";"55.659070";"{coordinates=[37.491483, 55.65907], type=Point}";"{coordinates=[37.491483, 55.65907], type=Point}";
"1429";"Велосипедная парковка № 080148113902";"22950241";"1d1d7059-8052-42ba-bc02-454a61d03990";"Новомосковский административный округ";"поселение Внуковское";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Москва, поселение Внуковское, поселок Минвнешторга, улица Ленина, 2";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.260693";"55.636983";"{coordinates=[37.260693, 55.636983], type=Point}";"{coordinates=[37.260693, 55.636983], type=Point}";
"1433";"Велосипедная парковка № 080148110312";"22950245";"63b6a0ba-8fc7-46a1-834c-12a7ef88cb7d";"Юго-Западный административный округ";"Гагаринский район";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Улица Вавилова, дом 66";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.549807";"55.682690";"{coordinates=[37.549807, 55.68269], type=Point}";"{coordinates=[37.549807, 55.68269], type=Point}";
"1435";"Велосипедная парковка № 080148112536";"22950247";"4eb51d80-6457-4ae7-818e-369b641ef2bb";"Юго-Западный административный округ";"район Котловка";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Севастопольский проспект, дом 47 А";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.587170";"55.669778";"{coordinates=[37.58717, 55.669778], type=Point}";"{coordinates=[37.58717, 55.669778], type=Point}";
"1438";"Велосипедная парковка № 080149610364";"22950250";"ef59a5bd-c35b-4793-8e1a-8fd5cc87d14c";"Восточный административный округ";"район Вешняки";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"Вешняковская улица, дом 17 Г";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.833527";"55.734310";"{coordinates=[37.833527, 55.73431], type=Point}";"{coordinates=[37.833527, 55.73431], type=Point}";
"1439";"Велосипедная парковка № 080149211997";"22950251";"2286df30-4c0f-4230-a42e-f13ae60363fd";"Восточный административный округ";"район Восточное Измайлово";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"15-я Парковая улица, дом 18, корпус 2";"8";"ГКУ Центр организации дорожного движения Правительства Москвы";"nested data";"37.821750";"55.795748";"{coordinates=[37.82175, 55.795748], type=Point}";"{coordinates=[37.82175, 55.795748], type=Point}";
