"global_id";"ID";"DepartamentalAffiliation";"AdmArea";"District";"Location";"DogParkArea";"Elements";"Lighting";"Fencing";"Photo";"WorkingHours";"geoData";"geodata_center";
"global_id";"Код";"Ведомственная принадлежность";"Административный округ";"Район";"Адресный ориентир";"Площадь площадки (кв.м)";"Элементы площадки";"Освещение площадки";"Ограждение площадки";"Фотография";"График работы";"geoData";"geodata_center";
"272695667";"53";"Префектура Южного административного округа города Москвы";"Южный административный округ";"район Чертаново Центральное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, Кировоградская улица, дом 32, корпус 1";"541.8";"[балансир для собак, барьер регулируемый, бум для собак, скамья для собаководов, трамплин, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.59909, 55.608153], type=Point}";"";
"272695669";"55";"Префектура Южного административного округа города Москвы";"Южный административный округ";"район Чертаново Центральное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, Чертановская улица, дом 48, корпус 2";"475";"[барьер регулируемый, бум для собак, скамья для собаководов, урна]";"да";"да";"nested data";"nested data";"{coordinates=[37.586413, 55.609128], type=Point}";"";
"272702706";"29";"Префектура Восточного административного округа города Москвы";"Восточный административный округ";"район Косино-Ухтомский";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Косино-Ухтомский, Святоозерская улица, дом 2";"301";"[скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.880137, 55.713519], type=Point}";"";
"272702707";"30";"Префектура Восточного административного округа города Москвы";"Восточный административный округ";"район Косино-Ухтомский";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Косино-Ухтомский, Святоозерская улица, дом 8";"294";"[скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.884176, 55.713713], type=Point}";"";
"272702712";"31";"Префектура Восточного административного округа города Москвы";"Восточный административный округ";"район Косино-Ухтомский";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Косино-Ухтомский, Святоозерская улица, дом 24";"352";"[барьер одинарный, горка-мостик А-форма, скамья для собаководов, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.893719, 55.711358], type=Point}";"";
"272702717";"32";"Префектура Восточного административного округа города Москвы";"Восточный административный округ";"район Косино-Ухтомский";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Косино-Ухтомский, Лухмановская улица, дом 18";"600";"[барьер одинарный, горка-мостик А-форма, скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.902154, 55.719798], type=Point}";"";
"272702718";"5";"Префектура Западного административного округа города Москвы";"Западный административный округ";"район Проспект Вернадского";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Проспект Вернадского, Ленинский проспект, дом 110, корпус 3, строение 1";"432.21";"[балансир для собак, барьер одинарный, бум для собак, скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.511852, 55.669443], type=Point}";"";
"272702719";"6";"Префектура Западного административного округа города Москвы";"Западный административный округ";"район Проспект Вернадского";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Проспект Вернадского, проспект Вернадского, дом 42, корпус 1";"450";"[барьер змейка, барьер регулируемый, бум для собак, информационный стенд, скамья для собаководов, урна]";"да";"да";"nested data";"nested data";"{coordinates=[37.498375, 55.674741], type=Point}";"";
"272702720";"33";"Префектура Восточного административного округа города Москвы";"Восточный административный округ";"район Косино-Ухтомский";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Косино-Ухтомский, Лухмановская улица, дом 34";"600";"[балансир для собак, барьер одинарный, скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.910828, 55.722707], type=Point}";"";
"272702725";"34";"Префектура Восточного административного округа города Москвы";"Восточный административный округ";"район Косино-Ухтомский";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Косино-Ухтомский, улица Руднёвка, дом 43А";"268";"[балансир для собак, барьер одинарный, бум для собак, горка-лестница (без перил), скамья для собаководов, трап, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.898314, 55.717102], type=Point}";"";
"272702731";"35";"Префектура Восточного административного округа города Москвы";"Восточный административный округ";"район Новокосино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новокосино, Суздальская улица, дом 8, корпус 1";"120";"[барьер кольца, барьер одинарный, горка-мостик А-форма, скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.844265, 55.735417], type=Point}";"";
